Entity,Year,Deaths
All natural disasters,1900,1267360.00
All natural disasters,1901,200018.00
All natural disasters,1902,46037.00
All natural disasters,1903,6506.00
All natural disasters,1905,22758.00
All natural disasters,1906,42970.00
All natural disasters,1907,1325641.00
All natural disasters,1908,75033.00
All natural disasters,1909,1511524.00
All natural disasters,1910,148233.00
All natural disasters,1911,102408.00
All natural disasters,1912,52093.00
All natural disasters,1913,882.00
All natural disasters,1914,289.00
All natural disasters,1915,32167.00
All natural disasters,1916,300.00
All natural disasters,1917,2523507.00
All natural disasters,1918,461113.00
All natural disasters,1919,5500.00
All natural disasters,1920,3204224.00
All natural disasters,1921,1200000.00
All natural disasters,1922,101243.00
All natural disasters,1923,255701.00
All natural disasters,1924,303009.00
All natural disasters,1925,5832.00
All natural disasters,1926,427852.00
All natural disasters,1927,215160.00
All natural disasters,1928,3004895.00
All natural disasters,1929,8377.00
All natural disasters,1930,10572.00
All natural disasters,1931,3706227.00
All natural disasters,1932,73296.00
All natural disasters,1933,34296.00
All natural disasters,1934,21087.00
All natural disasters,1935,272817.00
All natural disasters,1936,5301.00
All natural disasters,1937,12025.00
All natural disasters,1938,2225.00
All natural disasters,1939,563178.00
All natural disasters,1940,23023.00
All natural disasters,1941,10195.00
All natural disasters,1942,1608235.00
All natural disasters,1943,1910322.00
All natural disasters,1944,15906.00
All natural disasters,1945,10376.00
All natural disasters,1946,35490.00
All natural disasters,1947,17647.00
All natural disasters,1948,120131.00
All natural disasters,1949,120370.00
All natural disasters,1950,6728.00
All natural disasters,1951,15042.00
All natural disasters,1952,8965.00
All natural disasters,1953,12956.00
All natural disasters,1954,41872.00
All natural disasters,1955,6026.00
All natural disasters,1956,7737.00
All natural disasters,1957,10603.00
All natural disasters,1958,3950.00
All natural disasters,1959,2013242.00
All natural disasters,1960,39188.00
All natural disasters,1961,17341.00
All natural disasters,1962,17370.00
All natural disasters,1963,37746.00
All natural disasters,1964,12892.00
All natural disasters,1965,1565517.00
All natural disasters,1966,17181.00
All natural disasters,1967,10103.00
All natural disasters,1968,21461.00
All natural disasters,1969,11687.00
All natural disasters,1970,387507.00
All natural disasters,1971,18086.00
All natural disasters,1972,20045.00
All natural disasters,1973,110555.00
All natural disasters,1974,87504.00
All natural disasters,1975,14858.00
All natural disasters,1976,280469.00
All natural disasters,1977,22406.00
All natural disasters,1978,38096.00
All natural disasters,1979,7341.00
All natural disasters,1980,23089.00
All natural disasters,1981,119697.00
All natural disasters,1982,13973.00
All natural disasters,1983,461561.00
All natural disasters,1984,16273.00
All natural disasters,1985,60232.00
All natural disasters,1986,10349.00
All natural disasters,1987,21533.00
All natural disasters,1988,57464.00
All natural disasters,1989,12611.00
All natural disasters,1990,53141.00
All natural disasters,1991,189707.00
All natural disasters,1992,18911.00
All natural disasters,1993,21821.00
All natural disasters,1994,15590.00
All natural disasters,1995,27166.00
All natural disasters,1996,31595.00
All natural disasters,1997,30124.00
All natural disasters,1998,62672.00
All natural disasters,1999,76886.00
All natural disasters,2000,16667.00
All natural disasters,2001,39493.00
All natural disasters,2002,21342.00
All natural disasters,2003,113558.00
All natural disasters,2004,244772.00
All natural disasters,2005,93566.00
All natural disasters,2006,29893.00
All natural disasters,2007,22422.00
All natural disasters,2008,242236.00
All natural disasters,2009,16037.00
All natural disasters,2010,329900.00
All natural disasters,2011,34143.00
All natural disasters,2012,11619.00
All natural disasters,2013,22225.00
All natural disasters,2014,20882.00
All natural disasters,2015,23893.00
All natural disasters,2016,10201.00
All natural disasters,2017,2087.00
Drought,1900,1261000.00
Drought,1910,85000.00
Drought,1920,524000.00
Drought,1921,1200000.00
Drought,1928,3000000.00
Drought,1940,20000.00
Drought,1942,1500000.00
Drought,1943,1900000.00
Drought,1946,30000.00
Drought,1964,50.00
Drought,1965,1502000.00
Drought,1966,8000.00
Drought,1967,600.00
Drought,1973,100000.00
Drought,1974,19000.00
Drought,1978,63.00
Drought,1979,18.00
Drought,1981,103000.00
Drought,1982,280.00
Drought,1983,450520.00
Drought,1984,230.00
Drought,1986,84.00
